any;comarca o Aran;concepte;estat;valor
2011;Maresme;PIB (milions €);;8275,7
2011;Maresme;PIB per habitant (€);;19087
2011;Maresme;PIB per habitant (índex Catalunya=100);;68,8
2011;Moianès;PIB (milions €);;241,6
2011;Moianès;PIB per habitant (€);;18645
2011;Moianès;PIB per habitant (índex Catalunya=100);;67,2
2011;Montsià;PIB (milions €);;1233,3
2011;Montsià;PIB per habitant (€);;17310
2011;Montsià;PIB per habitant (índex Catalunya=100);;62,4
2011;Noguera;PIB (milions €);;895,6
2011;Noguera;PIB per habitant (€);;22454
2011;Noguera;PIB per habitant (índex Catalunya=100);;81,0
2011;Osona;PIB (milions €);;3958,5
2011;Osona;PIB per habitant (€);;25778
2011;Osona;PIB per habitant (índex Catalunya=100);;92,9
2011;Pallars Jussà;PIB (milions €);;291,8
2011;Pallars Jussà;PIB per habitant (€);;20655
2011;Pallars Jussà;PIB per habitant (índex Catalunya=100);;74,5
2011;Pallars Sobirà;PIB (milions €);;185,4
2011;Pallars Sobirà;PIB per habitant (€);;25063
2011;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;90,4
2011;Pla d'Urgell;PIB (milions €);;870,9
2011;Pla d'Urgell;PIB per habitant (€);;23541
2011;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;84,9
2011;Pla de l'Estany;PIB (milions €);;714,0
2011;Pla de l'Estany;PIB per habitant (€);;22906
2011;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;82,6
2011;Priorat;PIB (milions €);;150,8
2011;Priorat;PIB per habitant (€);;15182
2011;Priorat;PIB per habitant (índex Catalunya=100);;54,7
2011;Ribera d'Ebre;PIB (milions €);;1358,7
2011;Ribera d'Ebre;PIB per habitant (€);;58199
2011;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;209,8
2011;Ripollès;PIB (milions €);;579,3
2011;Ripollès;PIB per habitant (€);;22051
2011;Ripollès;PIB per habitant (índex Catalunya=100);;79,5
2011;Segarra;PIB (milions €);;634,2
2011;Segarra;PIB per habitant (€);;27347
2011;Segarra;PIB per habitant (índex Catalunya=100);;98,6
2011;Segrià;PIB (milions €);;5391,7
2011;Segrià;PIB per habitant (€);;26100
2011;Segrià;PIB per habitant (índex Catalunya=100);;94,1
2011;Selva;PIB (milions €);;3676,8
2011;Selva;PIB per habitant (€);;21611
2011;Selva;PIB per habitant (índex Catalunya=100);;77,9
2011;Solsonès;PIB (milions €);;320,2
2011;Solsonès;PIB per habitant (€);;23336
2011;Solsonès;PIB per habitant (índex Catalunya=100);;84,1
2011;Tarragonès;PIB (milions €);;7996,6
2011;Tarragonès;PIB per habitant (€);;32118
2011;Tarragonès;PIB per habitant (índex Catalunya=100);;115,8
2011;Terra Alta;PIB (milions €);;242,7
2011;Terra Alta;PIB per habitant (€);;19294
2011;Terra Alta;PIB per habitant (índex Catalunya=100);;69,6
2011;Urgell;PIB (milions €);;887,6
2011;Urgell;PIB per habitant (€);;24025
2011;Urgell;PIB per habitant (índex Catalunya=100);;86,6
2011;Vallès Occidental;PIB (milions €);;23873,6
2011;Vallès Occidental;PIB per habitant (€);;26753
2011;Vallès Occidental;PIB per habitant (índex Catalunya=100);;96,4
2011;Vallès Oriental;PIB (milions €);;11097,8
2011;Vallès Oriental;PIB per habitant (€);;28025
2011;Vallès Oriental;PIB per habitant (índex Catalunya=100);;101,0
2011;Catalunya;PIB (milions €);;208272,2
2011;Catalunya;PIB per habitant (€);;27738
2011;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2012;Alt Camp;PIB (milions €);;1161,3
2012;Alt Camp;PIB per habitant (€);;25893
2012;Alt Camp;PIB per habitant (índex Catalunya=100);;96,2
2012;Alt Empordà;PIB (milions €);;2747,1
2012;Alt Empordà;PIB per habitant (€);;19826
2012;Alt Empordà;PIB per habitant (índex Catalunya=100);;73,7
2012;Alt Penedès;PIB (milions €);;2815,5
2012;Alt Penedès;PIB per habitant (€);;26608
2012;Alt Penedès;PIB per habitant (índex Catalunya=100);;98,9
2012;Alt Urgell;PIB (milions €);;398,1
2012;Alt Urgell;PIB per habitant (€);;18908
2012;Alt Urgell;PIB per habitant (índex Catalunya=100);;70,3
2012;Alta Ribagorça;PIB (milions €);;90,1
2012;Alta Ribagorça;PIB per habitant (€);;21939
2012;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;81,5
2012;Anoia;PIB (milions €);;2252,0
2012;Anoia;PIB per habitant (€);;19041
2012;Anoia;PIB per habitant (índex Catalunya=100);;70,8
2012;Aran;PIB (milions €);;323,2
2012;Aran;PIB per habitant (€);;32397
2012;Aran;PIB per habitant (índex Catalunya=100);;120,4
2012;Bages;PIB (milions €);;4208,7
2012;Bages;PIB per habitant (€);;23918
2012;Bages;PIB per habitant (índex Catalunya=100);;88,9
2012;Baix Camp;PIB (milions €);;4204,9
2012;Baix Camp;PIB per habitant (€);;21919
2012;Baix Camp;PIB per habitant (índex Catalunya=100);;81,5
2012;Baix Ebre;PIB (milions €);;1620,9
2012;Baix Ebre;PIB per habitant (€);;20019
2012;Baix Ebre;PIB per habitant (índex Catalunya=100);;74,4
2012;Baix Empordà;PIB (milions €);;2532,4
2012;Baix Empordà;PIB per habitant (€);;19197
2012;Baix Empordà;PIB per habitant (índex Catalunya=100);;71,3
2012;Baix Llobregat;PIB (milions €);;21374,3
2012;Baix Llobregat;PIB per habitant (€);;26687
2012;Baix Llobregat;PIB per habitant (índex Catalunya=100);;99,2
2012;Baix Penedès;PIB (milions €);;1587,8
2012;Baix Penedès;PIB per habitant (€);;15808
2012;Baix Penedès;PIB per habitant (índex Catalunya=100);;58,7
2012;Barcelonès;PIB (milions €);;75112,9
2012;Barcelonès;PIB per habitant (€);;33723
2012;Barcelonès;PIB per habitant (índex Catalunya=100);;125,3
2012;Berguedà;PIB (milions €);;782,9
2012;Berguedà;PIB per habitant (€);;19190
2012;Berguedà;PIB per habitant (índex Catalunya=100);;71,3
2012;Cerdanya;PIB (milions €);;376,0
2012;Cerdanya;PIB per habitant (€);;20184
2012;Cerdanya;PIB per habitant (índex Catalunya=100);;75,0
2012;Conca de Barberà;PIB (milions €);;580,0
2012;Conca de Barberà;PIB per habitant (€);;27738
2012;Conca de Barberà;PIB per habitant (índex Catalunya=100);;103,1
2012;Garraf;PIB (milions €);;2364,7
2012;Garraf;PIB per habitant (€);;16331
2012;Garraf;PIB per habitant (índex Catalunya=100);;60,7
2012;Garrigues;PIB (milions €);;382,9
2012;Garrigues;PIB per habitant (€);;19160
2012;Garrigues;PIB per habitant (índex Catalunya=100);;71,2
2012;Garrotxa;PIB (milions €);;1392,9
2012;Garrotxa;PIB per habitant (€);;25189
2012;Garrotxa;PIB per habitant (índex Catalunya=100);;93,6
2012;Gironès;PIB (milions €);;5328,6
2012;Gironès;PIB per habitant (€);;29288
2012;Gironès;PIB per habitant (índex Catalunya=100);;108,8
2012;Lluçanès;PIB (milions €);..;null
2012;Lluçanès;PIB per habitant (€);..;null
2012;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2012;Maresme;PIB (milions €);;8068,2
2012;Maresme;PIB per habitant (€);;18606
2012;Maresme;PIB per habitant (índex Catalunya=100);;69,1
2012;Moianès;PIB (milions €);;248,0
2012;Moianès;PIB per habitant (€);;19108
2012;Moianès;PIB per habitant (índex Catalunya=100);;71,0
2012;Montsià;PIB (milions €);;1087,7
2012;Montsià;PIB per habitant (€);;15350
2012;Montsià;PIB per habitant (índex Catalunya=100);;57,0
2012;Noguera;PIB (milions €);;841,8
2012;Noguera;PIB per habitant (€);;21217
2012;Noguera;PIB per habitant (índex Catalunya=100);;78,8
2012;Osona;PIB (milions €);;3918,3
2012;Osona;PIB per habitant (€);;25533
2012;Osona;PIB per habitant (índex Catalunya=100);;94,9
2012;Pallars Jussà;PIB (milions €);;264,3
2012;Pallars Jussà;PIB per habitant (€);;19220
2012;Pallars Jussà;PIB per habitant (índex Catalunya=100);;71,4
2012;Pallars Sobirà;PIB (milions €);;160,9
2012;Pallars Sobirà;PIB per habitant (€);;22016
2012;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;81,8
2012;Pla d'Urgell;PIB (milions €);;877,2
2012;Pla d'Urgell;PIB per habitant (€);;23750
2012;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;88,3
2012;Pla de l'Estany;PIB (milions €);;726,3
2012;Pla de l'Estany;PIB per habitant (€);;23171
2012;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;86,1
2012;Priorat;PIB (milions €);;151,9
2012;Priorat;PIB per habitant (€);;15507
2012;Priorat;PIB per habitant (índex Catalunya=100);;57,6
2012;Ribera d'Ebre;PIB (milions €);;1236,0
2012;Ribera d'Ebre;PIB per habitant (€);;53420
2012;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;198,5
2012;Ripollès;PIB (milions €);;542,5
2012;Ripollès;PIB per habitant (€);;20823
2012;Ripollès;PIB per habitant (índex Catalunya=100);;77,4
2012;Segarra;PIB (milions €);;639,5
2012;Segarra;PIB per habitant (€);;27709
2012;Segarra;PIB per habitant (índex Catalunya=100);;103,0
2012;Segrià;PIB (milions €);;5242,2
2012;Segrià;PIB per habitant (€);;25347
2012;Segrià;PIB per habitant (índex Catalunya=100);;94,2
2012;Selva;PIB (milions €);;3712,4
2012;Selva;PIB per habitant (€);;21852
2012;Selva;PIB per habitant (índex Catalunya=100);;81,2
2012;Solsonès;PIB (milions €);;303,8
2012;Solsonès;PIB per habitant (€);;22323
2012;Solsonès;PIB per habitant (índex Catalunya=100);;83,0
2012;Tarragonès;PIB (milions €);;7458,4
2012;Tarragonès;PIB per habitant (€);;29906
2012;Tarragonès;PIB per habitant (índex Catalunya=100);;111,1
2012;Terra Alta;PIB (milions €);;270,1
2012;Terra Alta;PIB per habitant (€);;21764
2012;Terra Alta;PIB per habitant (índex Catalunya=100);;80,9
2012;Urgell;PIB (milions €);;816,2
2012;Urgell;PIB per habitant (€);;22278
2012;Urgell;PIB per habitant (índex Catalunya=100);;82,8
2012;Vallès Occidental;PIB (milions €);;23152,1
2012;Vallès Occidental;PIB per habitant (€);;25876
2012;Vallès Occidental;PIB per habitant (índex Catalunya=100);;96,2
2012;Vallès Oriental;PIB (milions €);;10400,6
2012;Vallès Oriental;PIB per habitant (€);;26180
2012;Vallès Oriental;PIB per habitant (índex Catalunya=100);;97,3
2012;Catalunya;PIB (milions €);;201755,6
2012;Catalunya;PIB per habitant (€);;26911
2012;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2013;Alt Camp;PIB (milions €);;1261,9
2013;Alt Camp;PIB per habitant (€);;28296
2013;Alt Camp;PIB per habitant (índex Catalunya=100);;105,0
2013;Alt Empordà;PIB (milions €);;2772,9
2013;Alt Empordà;PIB per habitant (€);;20147
2013;Alt Empordà;PIB per habitant (índex Catalunya=100);;74,7
2013;Alt Penedès;PIB (milions €);;2793,4
2013;Alt Penedès;PIB per habitant (€);;26440
2013;Alt Penedès;PIB per habitant (índex Catalunya=100);;98,1
2013;Alt Urgell;PIB (milions €);;424,4
2013;Alt Urgell;PIB per habitant (€);;20329
2013;Alt Urgell;PIB per habitant (índex Catalunya=100);;75,4
2013;Alta Ribagorça;PIB (milions €);;97,0
2013;Alta Ribagorça;PIB per habitant (€);;24329
2013;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;90,2
2013;Anoia;PIB (milions €);;2370,8
2013;Anoia;PIB per habitant (€);;20133
2013;Anoia;PIB per habitant (índex Catalunya=100);;74,7
2013;Aran;PIB (milions €);;337,6
2013;Aran;PIB per habitant (€);;34058
2013;Aran;PIB per habitant (índex Catalunya=100);;126,3
2013;Bages;PIB (milions €);;4150,1
2013;Bages;PIB per habitant (€);;23757
2013;Bages;PIB per habitant (índex Catalunya=100);;88,1
2013;Baix Camp;PIB (milions €);;3974,9
2013;Baix Camp;PIB per habitant (€);;20836
2013;Baix Camp;PIB per habitant (índex Catalunya=100);;77,3
2013;Baix Ebre;PIB (milions €);;1575,4
2013;Baix Ebre;PIB per habitant (€);;19672
2013;Baix Ebre;PIB per habitant (índex Catalunya=100);;73,0
2013;Baix Empordà;PIB (milions €);;2580,1
2013;Baix Empordà;PIB per habitant (€);;19663
2013;Baix Empordà;PIB per habitant (índex Catalunya=100);;72,9
2013;Baix Llobregat;PIB (milions €);;21449,2
2013;Baix Llobregat;PIB per habitant (€);;26847
2013;Baix Llobregat;PIB per habitant (índex Catalunya=100);;99,6
2013;Baix Penedès;PIB (milions €);;1563,5
2013;Baix Penedès;PIB per habitant (€);;15655
2013;Baix Penedès;PIB per habitant (índex Catalunya=100);;58,1
2013;Barcelonès;PIB (milions €);;74342,1
2013;Barcelonès;PIB per habitant (€);;33678
2013;Barcelonès;PIB per habitant (índex Catalunya=100);;124,9
2013;Berguedà;PIB (milions €);;751,5
2013;Berguedà;PIB per habitant (€);;18733
2013;Berguedà;PIB per habitant (índex Catalunya=100);;69,5
2013;Cerdanya;PIB (milions €);;378,8
2013;Cerdanya;PIB per habitant (€);;20784
2013;Cerdanya;PIB per habitant (índex Catalunya=100);;77,1
2013;Conca de Barberà;PIB (milions €);;580,6
2013;Conca de Barberà;PIB per habitant (€);;28084
2013;Conca de Barberà;PIB per habitant (índex Catalunya=100);;104,2
2013;Garraf;PIB (milions €);;2322,2
2013;Garraf;PIB per habitant (€);;16116
2013;Garraf;PIB per habitant (índex Catalunya=100);;59,8
2013;Garrigues;PIB (milions €);;402,7
2013;Garrigues;PIB per habitant (€);;20399
2013;Garrigues;PIB per habitant (índex Catalunya=100);;75,7
2013;Garrotxa;PIB (milions €);;1389,0
2013;Garrotxa;PIB per habitant (€);;25186
2013;Garrotxa;PIB per habitant (índex Catalunya=100);;93,4
2013;Gironès;PIB (milions €);;5277,7
2013;Gironès;PIB per habitant (€);;29084
2013;Gironès;PIB per habitant (índex Catalunya=100);;107,9
2013;Lluçanès;PIB (milions €);..;null
2013;Lluçanès;PIB per habitant (€);..;null
2013;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2013;Maresme;PIB (milions €);;8072,9
2013;Maresme;PIB per habitant (€);;18665
2013;Maresme;PIB per habitant (índex Catalunya=100);;69,2
2013;Moianès;PIB (milions €);;247,9
2013;Moianès;PIB per habitant (€);;19138
2013;Moianès;PIB per habitant (índex Catalunya=100);;71,0
2013;Montsià;PIB (milions €);;1078,7
2013;Montsià;PIB per habitant (€);;15430
2013;Montsià;PIB per habitant (índex Catalunya=100);;57,2
2013;Noguera;PIB (milions €);;959,7
2013;Noguera;PIB per habitant (€);;24467
2013;Noguera;PIB per habitant (índex Catalunya=100);;90,8
2013;Osona;PIB (milions €);;3794,5
2013;Osona;PIB per habitant (€);;24845
2013;Osona;PIB per habitant (índex Catalunya=100);;92,2
2013;Pallars Jussà;PIB (milions €);;285,4
2013;Pallars Jussà;PIB per habitant (€);;21370
2013;Pallars Jussà;PIB per habitant (índex Catalunya=100);;79,3
2013;Pallars Sobirà;PIB (milions €);;178,8
2013;Pallars Sobirà;PIB per habitant (€);;24813
2013;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;92,0
2013;Pla d'Urgell;PIB (milions €);;872,7
2013;Pla d'Urgell;PIB per habitant (€);;23758
2013;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;88,1
2013;Pla de l'Estany;PIB (milions €);;759,0
2013;Pla de l'Estany;PIB per habitant (€);;24199
2013;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;89,8
2013;Priorat;PIB (milions €);;153,8
2013;Priorat;PIB per habitant (€);;16020
2013;Priorat;PIB per habitant (índex Catalunya=100);;59,4
2013;Ribera d'Ebre;PIB (milions €);;1160,8
2013;Ribera d'Ebre;PIB per habitant (€);;50941
2013;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;189,0
2013;Ripollès;PIB (milions €);;569,8
2013;Ripollès;PIB per habitant (€);;22117
2013;Ripollès;PIB per habitant (índex Catalunya=100);;82,0
2013;Segarra;PIB (milions €);;660,2
2013;Segarra;PIB per habitant (€);;28959
2013;Segarra;PIB per habitant (índex Catalunya=100);;107,4
2013;Segrià;PIB (milions €);;5452,8
2013;Segrià;PIB per habitant (€);;26468
2013;Segrià;PIB per habitant (índex Catalunya=100);;98,2
2013;Selva;PIB (milions €);;3677,2
2013;Selva;PIB per habitant (€);;21797
2013;Selva;PIB per habitant (índex Catalunya=100);;80,8
2013;Solsonès;PIB (milions €);;291,0
2013;Solsonès;PIB per habitant (€);;21530
2013;Solsonès;PIB per habitant (índex Catalunya=100);;79,9
2013;Tarragonès;PIB (milions €);;6993,3
2013;Tarragonès;PIB per habitant (€);;28073
2013;Tarragonès;PIB per habitant (índex Catalunya=100);;104,1
2013;Terra Alta;PIB (milions €);;286,8
2013;Terra Alta;PIB per habitant (€);;23590
2013;Terra Alta;PIB per habitant (índex Catalunya=100);;87,5
2013;Urgell;PIB (milions €);;881,0
2013;Urgell;PIB per habitant (€);;24220
2013;Urgell;PIB per habitant (índex Catalunya=100);;89,8
2013;Vallès Occidental;PIB (milions €);;23196,0
2013;Vallès Occidental;PIB per habitant (€);;25951
2013;Vallès Occidental;PIB per habitant (índex Catalunya=100);;96,3
2013;Vallès Oriental;PIB (milions €);;10655,0
2013;Vallès Oriental;PIB per habitant (€);;26846
2013;Vallès Oriental;PIB per habitant (índex Catalunya=100);;99,6
2013;Catalunya;PIB (milions €);;201023,3
2013;Catalunya;PIB per habitant (€);;26960
2013;Catalunya;PIB per habitant (índex Catalunya=100);;100,0
2014;Alt Camp;PIB (milions €);;1360,0
2014;Alt Camp;PIB per habitant (€);;30658
2014;Alt Camp;PIB per habitant (índex Catalunya=100);;110,8
2014;Alt Empordà;PIB (milions €);;2910,1
2014;Alt Empordà;PIB per habitant (€);;21293
2014;Alt Empordà;PIB per habitant (índex Catalunya=100);;77,0
2014;Alt Penedès;PIB (milions €);;2854,8
2014;Alt Penedès;PIB per habitant (€);;27079
2014;Alt Penedès;PIB per habitant (índex Catalunya=100);;97,9
2014;Alt Urgell;PIB (milions €);;411,1
2014;Alt Urgell;PIB per habitant (€);;19893
2014;Alt Urgell;PIB per habitant (índex Catalunya=100);;71,9
2014;Alta Ribagorça;PIB (milions €);;88,7
2014;Alta Ribagorça;PIB per habitant (€);;22629
2014;Alta Ribagorça;PIB per habitant (índex Catalunya=100);;81,8
2014;Anoia;PIB (milions €);;2356,9
2014;Anoia;PIB per habitant (€);;20095
2014;Anoia;PIB per habitant (índex Catalunya=100);;72,6
2014;Aran;PIB (milions €);;328,7
2014;Aran;PIB per habitant (€);;33433
2014;Aran;PIB per habitant (índex Catalunya=100);;120,9
2014;Bages;PIB (milions €);;4282,3
2014;Bages;PIB per habitant (€);;24668
2014;Bages;PIB per habitant (índex Catalunya=100);;89,2
2014;Baix Camp;PIB (milions €);;4171,3
2014;Baix Camp;PIB per habitant (€);;22051
2014;Baix Camp;PIB per habitant (índex Catalunya=100);;79,7
2014;Baix Ebre;PIB (milions €);;1622,8
2014;Baix Ebre;PIB per habitant (€);;20483
2014;Baix Ebre;PIB per habitant (índex Catalunya=100);;74,0
2014;Baix Empordà;PIB (milions €);;2656,6
2014;Baix Empordà;PIB per habitant (€);;20378
2014;Baix Empordà;PIB per habitant (índex Catalunya=100);;73,7
2014;Baix Llobregat;PIB (milions €);;22391,4
2014;Baix Llobregat;PIB per habitant (€);;28050
2014;Baix Llobregat;PIB per habitant (índex Catalunya=100);;101,4
2014;Baix Penedès;PIB (milions €);;1640,8
2014;Baix Penedès;PIB per habitant (€);;16539
2014;Baix Penedès;PIB per habitant (índex Catalunya=100);;59,8
2014;Barcelonès;PIB (milions €);;75719,6
2014;Barcelonès;PIB per habitant (€);;34472
2014;Barcelonès;PIB per habitant (índex Catalunya=100);;124,6
2014;Berguedà;PIB (milions €);;821,1
2014;Berguedà;PIB per habitant (€);;20776
2014;Berguedà;PIB per habitant (índex Catalunya=100);;75,1
2014;Cerdanya;PIB (milions €);;399,8
2014;Cerdanya;PIB per habitant (€);;22306
2014;Cerdanya;PIB per habitant (índex Catalunya=100);;80,6
2014;Conca de Barberà;PIB (milions €);;573,5
2014;Conca de Barberà;PIB per habitant (€);;28011
2014;Conca de Barberà;PIB per habitant (índex Catalunya=100);;101,3
2014;Garraf;PIB (milions €);;2409,4
2014;Garraf;PIB per habitant (€);;16784
2014;Garraf;PIB per habitant (índex Catalunya=100);;60,7
2014;Garrigues;PIB (milions €);;383,4
2014;Garrigues;PIB per habitant (€);;19725
2014;Garrigues;PIB per habitant (índex Catalunya=100);;71,3
2014;Garrotxa;PIB (milions €);;1412,9
2014;Garrotxa;PIB per habitant (€);;25671
2014;Garrotxa;PIB per habitant (índex Catalunya=100);;92,8
2014;Gironès;PIB (milions €);;5146,9
2014;Gironès;PIB per habitant (€);;28434
2014;Gironès;PIB per habitant (índex Catalunya=100);;102,8
2014;Lluçanès;PIB (milions €);..;null
2014;Lluçanès;PIB per habitant (€);..;null
2014;Lluçanès;PIB per habitant (índex Catalunya=100);..;null
2014;Maresme;PIB (milions €);;8388,1
2014;Maresme;PIB per habitant (€);;19386
2014;Maresme;PIB per habitant (índex Catalunya=100);;70,1
2014;Moianès;PIB (milions €);;267,1
2014;Moianès;PIB per habitant (€);;20595
2014;Moianès;PIB per habitant (índex Catalunya=100);;74,5
2014;Montsià;PIB (milions €);;1075,2
2014;Montsià;PIB per habitant (€);;15637
2014;Montsià;PIB per habitant (índex Catalunya=100);;56,5
2014;Noguera;PIB (milions €);;823,7
2014;Noguera;PIB per habitant (€);;21222
2014;Noguera;PIB per habitant (índex Catalunya=100);;76,7
2014;Osona;PIB (milions €);;3964,3
2014;Osona;PIB per habitant (€);;26012
2014;Osona;PIB per habitant (índex Catalunya=100);;94,0
2014;Pallars Jussà;PIB (milions €);;265,4
2014;Pallars Jussà;PIB per habitant (€);;19968
2014;Pallars Jussà;PIB per habitant (índex Catalunya=100);;72,2
2014;Pallars Sobirà;PIB (milions €);;162,1
2014;Pallars Sobirà;PIB per habitant (€);;22933
2014;Pallars Sobirà;PIB per habitant (índex Catalunya=100);;82,9
2014;Pla d'Urgell;PIB (milions €);;885,8
2014;Pla d'Urgell;PIB per habitant (€);;24183
2014;Pla d'Urgell;PIB per habitant (índex Catalunya=100);;87,4
2014;Pla de l'Estany;PIB (milions €);;786,8
2014;Pla de l'Estany;PIB per habitant (€);;25148
2014;Pla de l'Estany;PIB per habitant (índex Catalunya=100);;90,9
2014;Priorat;PIB (milions €);;173,3
2014;Priorat;PIB per habitant (€);;18256
2014;Priorat;PIB per habitant (índex Catalunya=100);;66,0
2014;Ribera d'Ebre;PIB (milions €);;1054,6
2014;Ribera d'Ebre;PIB per habitant (€);;46871
2014;Ribera d'Ebre;PIB per habitant (índex Catalunya=100);;169,4
2014;Ripollès;PIB (milions €);;591,7
2014;Ripollès;PIB per habitant (€);;23280
2014;Ripollès;PIB per habitant (índex Catalunya=100);;84,2
2014;Segarra;PIB (milions €);;645,7
2014;Segarra;PIB per habitant (€);;28637
2014;Segarra;PIB per habitant (índex Catalunya=100);;103,5
2014;Segrià;PIB (milions €);;5238,3
2014;Segrià;PIB per habitant (€);;25528
2014;Segrià;PIB per habitant (índex Catalunya=100);;92,3
2014;Selva;PIB (milions €);;3837,2
2014;Selva;PIB per habitant (€);;22976
2014;Selva;PIB per habitant (índex Catalunya=100);;83,1
2014;Solsonès;PIB (milions €);;290,0
2014;Solsonès;PIB per habitant (€);;21578
2014;Solsonès;PIB per habitant (índex Catalunya=100);;78,0
2014;Tarragonès;PIB (milions €);;7192,2
2014;Tarragonès;PIB per habitant (€);;28858
2014;Tarragonès;PIB per habitant (índex Catalunya=100);;104,3
2014;Terra Alta;PIB (milions €);;284,8
2014;Terra Alta;PIB per habitant (€);;23981
2014;Terra Alta;PIB per habitant (índex Catalunya=100);;86,7
2014;Urgell;PIB (milions €);;787,3
2014;Urgell;PIB per habitant (€);;21815
2014;Urgell;PIB per habitant (índex Catalunya=100);;78,9
2014;Vallès Occidental;PIB (milions €);;24003,2
2014;Vallès Occidental;PIB per habitant (€);;26846
2014;Vallès Occidental;PIB per habitant (índex Catalunya=100);;97,1
2014;Vallès Oriental;PIB (milions €);;10852,5
